id,zip,primary_city,state,county,timezone,latitude,longitude,country,estimated_population
29828,68069,Waterloo,NE,Douglas County,America/Chicago,41.28,-96.28,US,2302
29829,68070,Weston,NE,Saunders County,America/Chicago,41.19,-96.74,US,718
29830,68071,Winnebago,NE,Thurston County,America/Chicago,42.23,-96.47,US,1220
29831,68072,Winslow,NE,Dodge County,America/Chicago,41.6,-96.5,US,0
29832,68073,Yutan,NE,Saunders County,America/Chicago,41.24,-96.39,US,1713
29833,68101,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29834,68102,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,2704
29835,68103,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29836,68104,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,26121
29837,68105,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,16032
29838,68106,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,15966
29839,68107,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,21226
29840,68108,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,10024
29841,68109,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29842,68110,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,4845
29843,68111,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,15273
29844,68112,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,8919
29845,68113,Offutt A F B,NE,Sarpy County,America/Chicago,41.11,-95.9,US,1228
29846,68114,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,14210
29847,68116,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,21909
29848,68117,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,6635
29849,68118,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,8987
29850,68119,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29851,68120,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29852,68122,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,8107
29853,68123,Bellevue,NE,Sarpy County,America/Chicago,41.15,-95.92,US,23378
29854,68124,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,13211
29855,68127,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,18498
29856,68128,La Vista,NE,Sarpy County,America/Chicago,41.18,-96.03,US,14841
29857,68130,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,15806
29858,68131,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,7864
29859,68132,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,10396
29860,68133,Papillion,NE,Sarpy County,America/Chicago,41.15,-96.04,US,8116
29861,68134,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,22964
29862,68135,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,22616
29863,68136,Omaha,NE,Sarpy County,America/Chicago,41.26,-96.01,US,11570
29864,68137,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,21523
29865,68138,Omaha,NE,Sarpy County,America/Chicago,41.26,-96.01,US,10485
29866,68139,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29867,68142,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,2634
29868,68144,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,21163
29869,68145,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29870,68147,Bellevue,NE,Sarpy County,America/Chicago,41.15,-95.92,US,8675
29871,68152,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,5267
29872,68154,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,20155
29873,68155,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29874,68157,Omaha,NE,Sarpy County,America/Chicago,41.26,-96.01,US,4512
29875,68164,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,23747
29876,68172,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29877,68175,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29878,68176,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29879,68178,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29880,68179,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29881,68180,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29882,68181,Omaha,NE,Douglas County,America/Chicago,41.24,-95.93,US,0
29883,68182,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29884,68183,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29885,68197,Omaha,NE,Douglas County,America/Chicago,41.26,-95.93,US,0
29886,68198,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01,US,0
29887,68301,Adams,NE,Gage County,America/Chicago,40.45,-96.51,US,1242
29888,68303,Alexandria,NE,Thayer County,America/Chicago,40.24,-97.38,US,0
29889,68304,Alvo,NE,Cass County,America/Chicago,40.87,-96.38,US,0
29890,68305,Auburn,NE,Nemaha County,America/Chicago,40.38,-95.84,US,3453
